frame.time_epoch,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.flags,tcp.checksum,tcp.flags.ack,tcp.len,tcp.connection.syn,tcp.connection.fin,tcp.connection.synack,tcp.connection.rst,http.content_length,http.response.code,http.response.phrase
"274.900021681","10.1.1.1","10.1.1.20","80","49153","0x0010","0x0000","1","0",,,,,,,
"274.900043281","10.1.1.1","10.1.1.8","80","49153","0x0010","0x0000","1","0",,,,,,,
"274.900056281","10.1.1.8","10.1.1.1","49153","80","0x0010","0x0000","1","114",,,,,,,
"274.900079281","10.1.1.2","10.1.1.1","49153","80","0x0010","0x0000","1","114",,,,,,,
"274.900110681","10.1.1.11","10.1.1.1","49153","80","0x0010","0x0000","1","119",,,,,,,
"274.900171521","10.1.1.21","10.1.1.1","49153","80","0x0010","0x0000","1","117",,,,,,,
"274.900200681","10.1.1.7","10.1.1.1","49153","80","0x0010","0x0000","1","119",,,,,,,
"274.900236841","10.1.1.1","10.1.1.13","80","49153","0x0010","0x0000","1","0",,,,,,,
"274.900251401","10.1.1.1","10.1.1.12","80","49153","0x0010","0x0000","1","0",,,,,,,
"274.900266961","10.1.1.1","10.1.1.10","80","49153","0x0010","0x0000","1","0",,,,,,,
"274.900326281","10.1.1.5","10.1.1.1","49153","80","0x0010","0x0000","1","114",,,,,,,
"275.000021441","10.1.1.17","10.1.1.1","49153","80","0x0010","0x0000","1","116",,,,,,,
"275.000021441","10.1.1.1","10.1.1.17","80","49153","0x0010","0x0000","1","0",,,,,,,
"275.000029001","10.1.1.1","10.1.1.18","80","49153","0x0010","0x0000","1","0",,,,,,,
"275.000044281","10.1.1.1","10.1.1.6","80","49153","0x0010","0x0000","1","0",,,,,,,
"275.000096281","10.1.1.16","10.1.1.1","49153","80","0x0010","0x0000","1","114",,,,,,,
"275.000096281","10.1.1.1","10.1.1.16","80","49153","0x0010","0x0000","1","0",,,,,,,
"275.100021281","10.1.1.14","10.1.1.1","49153","80","0x0010","0x0000","1","114",,,,,,,
"275.100043281","10.1.1.16","10.1.1.1","49153","80","0x0010","0x0000","1","114",,,,,,,
"275.100056281","10.1.1.1","10.1.1.8","80","49153","0x0010","0x0000","1","0",,,,,,,
"275.100066281","10.1.1.5","10.1.1.1","49153","80","0x0010","0x0000","1","114",,,,,,,
"275.100077841","10.1.1.1","10.1.1.5","80","49153","0x0010","0x0000","1","0",,,,,,,
"275.100093401","10.1.1.1","10.1.1.2","80","49153","0x0010","0x0000","1","0",,,,,,,
"275.100110681","10.1.1.1","10.1.1.11","80","49153","0x0010","0x0000","1","0",,,,,,,
"275.100159281","10.1.1.17","10.1.1.1","49153","80","0x0010","0x0000","1","114",,,,,,,
"275.100171521","10.1.1.1","10.1.1.21","80","49153","0x0010","0x0000","1","0",,,,,,,
"275.100200681","10.1.1.1","10.1.1.7","80","49153","0x0010","0x0000","1","0",,,,,,,
"275.200021281","10.1.1.15","10.1.1.1","49153","80","0x0010","0x0000","1","114",,,,,,,
"275.200048281","10.1.1.16","10.1.1.1","49153","80","0x0010","0x0000","1","114",,,,,,,
"275.200048281","10.1.1.1","10.1.1.16","80","49153","0x0010","0x0000","1","0",,,,,,,
"275.200094521","10.1.1.3","10.1.1.1","49153","80","0x0010","0x0000","1","117",,,,,,,
"275.200201681","10.1.1.18","10.1.1.1","49153","80","0x0010","0x0000","1","119",,,,,,,
"275.300021281","10.1.1.1","10.1.1.14","80","49153","0x0010","0x0000","1","0",,,,,,,
"275.300159281","10.1.1.1","10.1.1.17","80","49153","0x0010","0x0000","1","0",,,,,,,
"275.400021281","10.1.1.1","10.1.1.15","80","49153","0x0010","0x0000","1","0",,,,,,,
"275.400021281","10.1.1.19","10.1.1.1","49153","80","0x0010","0x0000","1","114",,,,,,,
"275.400071681","10.1.1.2","10.1.1.1","49153","80","0x0010","0x0000","1","119",,,,,,,
"275.400094521","10.1.1.1","10.1.1.3","80","49153","0x0010","0x0000","1","0",,,,,,,
"275.400201681","10.1.1.1","10.1.1.18","80","49153","0x0010","0x0000","1","0",,,,,,,
"275.500021441","10.1.1.4","10.1.1.1","49153","80","0x0010","0x0000","1","116",,,,,,,
"275.500049281","10.1.1.12","10.1.1.1","49153","80","0x0010","0x0000","1","114",,,,,,,
